summary-marketing-airlines,itemAirport,itemAirport 2,summary-luggage-unit,summary-transit,money-int,zaman
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,4801,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5286,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5286,75
easyJet,LGW,CDG,El çantası,Direkt Uçuş,5945,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,6052,80
easyJet,LTN,CDG,El çantası,Direkt Uçuş,6393,80
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,7335,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,7355,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,7572,85
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,781,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,7891,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,8052,80
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,8394,95
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8399,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8399,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,9092,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,9119,80
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,9441,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,9924,80
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,10051,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,10352,80
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,10824,600
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,10855,95
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,10859,85
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,10978,80
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,1104,95
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,11219,80
easyJet,LTN,CDG,El çantası,Direkt Uçuş,11301,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,11458,645
KLM Royal Dutch Airlines,LCY,AMS,1x23 kg,1 Aktarma,11468,645
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,11758,85
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,11821,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,11821,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,11943,85
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,12582,775
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,12582,860
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,12582,930
